molecule_chembl_id,class_label,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1448,inactive,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,327.12300000000005,3.859500000000001,2.0,4.0,4.3979400086720375
CHEMBL116438,inactive,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.3850000000001,3.852600000000003,3.0,6.0,4.3979400086720375
CHEMBL395263,inactive,O=C1OC[C@H](Cc2ccc3c(c2)OCO3)/C1=C\c1ccc2c(c1)OCO2,352.3420000000001,2.943100000000002,0.0,6.0,4.6020599913279625
CHEMBL242011,inactive,O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,354.35800000000006,2.718400000000001,0.0,6.0,4.0
CHEMBL431525,inactive,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,454.69500000000033,7.297700000000009,1.0,2.0,4.0
CHEMBL258787,inactive,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,464.4840000000001,4.1864000000000035,2.0,4.0,4.823908740944319
CHEMBL2372143,inactive,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)C(F)(F)F,634.6960000000004,3.8319000000000036,4.0,6.0,5.0
CHEMBL259622,inactive,CCCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,470.57600000000014,5.126800000000005,2.0,3.0,4.301029995663981
CHEMBL261189,inactive,CCCCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F,484.6030000000001,5.516900000000005,2.0,3.0,4.301029995663981
CHEMBL265704,inactive,C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)NCC(=O)C(F)(F)F,327.25899999999996,-1.0691999999999977,4.0,5.0,4.301029995663981
CHEMBL261402,inactive,C[C@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NCC(=O)C(F)(F)F,483.4840000000002,1.7538999999999985,3.0,7.0,4.3979400086720375
CHEMBL258581,inactive,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)NC(C)C(=O)C(F)(F)F,354.369,2.5619000000000005,2.0,4.0,4.3979400086720375
CHEMBL409422,inactive,O=C(N[C@@H](Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)F)OCc1ccccc1,498.50100000000015,4.383000000000004,2.0,4.0,4.698970004336019
CHEMBL523052,inactive,O=C(CSc1nc(C2CCCCC2)nc2ccccc12)NCc1ccco1,381.50100000000003,4.679000000000004,1.0,5.0,4.739928612014925
CHEMBL495231,inactive,Cc1cc2cc(CN(CCc3ccccc3C)C(=O)NCc3ccccc3)c(=O)[nH]c2cc1C,453.5860000000002,5.407860000000005,2.0,2.0,4.764471553092451
CHEMBL468553,active,O=C(Oc1cncc(Cl)c1)c1cccs1,239.68300000000002,3.0157000000000007,0.0,4.0,6.301029995663981
